,Rank (Borda),Model,Zero-shot,Number of Parameters,Embedding Dimensions,Max Tokens,Mean (Task),Mean (TaskType),Bitext Mining,Classification,Clustering,Instruction Retrieval,Multilabel Classification,Pair Classification,Reranking,Retrieval,STS
32,33,[arabic-english-sts-matryoshka](https://huggingface.co/omarelshehy/arabic-english-sts-matryoshka),-1,559M,1024,514,52.66,46.04,60.89,56.67,41.32,1.38,19.32,83.35,48.31,31.72,71.4
33,34,[stella_en_400M_v5](https://huggingface.co/dunzhang/stella_en_400M_v5),92,435M,4096,8192,48.39,42.18,39.24,49.2,46.82,-0.7,18.22,74.51,46.49,42.58,63.23
34,35,[paraphrase-multilingual-mpnet-base-v2](https://huggingface.co/sentence-transformers/paraphrase-multilingual-mpnet-base-v2),100,278M,768,512,52.01,45.27,52.06,55.06,41.08,-1.14,16.4,81.15,53.37,39.76,69.66
35,36,[Arabic-all-nli-triplet-Matryoshka](https://huggingface.co/Omartificial-Intelligence-Space/Arabic-all-nli-triplet-Matryoshka),100,278M,768,514,52.02,45.44,55.9,54.64,39.27,-1.05,14.99,81.16,54.27,38.47,71.29
36,37,[speed-embedding-7b-instruct](https://huggingface.co/Haon-Chen/speed-embedding-7b-instruct),-1,7B,Unknown,32768,,,19.54,57.32,42.7,-0.09,,74.82,48.85,,65.49
37,38,[LaBSE](https://huggingface.co/sentence-transformers/LaBSE),100,471M,768,512,52.1,45.77,76.35,54.6,39.16,-3,20.12,75.97,50.2,33.17,65.35
38,39,[granite-embedding-107m-multilingual](https://huggingface.co/ibm-granite/granite-embedding-107m-multilingual),96,107M,384,512,51.84,45.57,54.08,52.57,41.3,-2.96,17.33,75.29,58.48,48.08,65.98
39,40,[e5-large-v2](https://huggingface.co/intfloat/e5-large-v2),100,335M,1024,514,46.69,40.4,33.8,49.8,40.58,-0.99,15.85,73.92,48.76,40.06,61.87
40,41,[UAE-Large-V1](https://huggingface.co/WhereIsAI/UAE-Large-V1),100,335M,1024,512,46.16,39.7,26.84,49.66,42.63,-2.14,17.17,72.82,48.35,41.21,60.75
41,42,[mxbai-embed-large-v1](https://huggingface.co/mixedbread-ai/mxbai-embed-large-v1),100,335M,1024,512,45.98,39.53,25.74,49.74,43.25,-1.95,18.1,72.56,47.6,40.3,60.46
42,43,[GIST-large-Embedding-v0](https://huggingface.co/avsolatorio/GIST-large-Embedding-v0),96,335M,1024,512,45.82,39.6,25.64,48.18,43.18,-1.81,17.54,72.28,47.08,40.41,63.92
43,44,[mmlw-e5-large](https://huggingface.co/sdadas/mmlw-e5-large),99,559M,1024,514,45.49,38.04,26.86,52.05,43.71,-3.39,17.08,73.41,39.82,33.33,59.49
44,45,[nomic-embed-text-v1](https://huggingface.co/nomic-ai/nomic-embed-text-v1),96,Unknown,768,8192,45.74,39.2,28.37,49.39,41.55,-3.25,17.8,71.66,46.01,37.05,64.25
45,46,[nomic-embed-text-v1-ablated](https://huggingface.co/nomic-ai/nomic-embed-text-v1-ablated),96,Unknown,768,8192,45.97,39.27,28.6,49.24,41.16,-3.75,17.36,72.07,45.04,40.74,62.99
46,47,[e5-base-v2](https://huggingface.co/intfloat/e5-base-v2),100,109M,768,512,46.03,39.41,30.95,49.46,40.84,-3.94,16.06,72.63,47.5,40.49,60.73
47,48,[e5-large](https://huggingface.co/intfloat/e5-large),100,335M,1024,512,45.65,39.29,30.56,48.16,41.38,-2.33,16.31,73.48,44.19,38.5,63.32
